ecoregion	taxon	metabolite	direction	flux_2015	flux_2016	flux_diff_2016-2015
Central	roseobacter	tet	import	-13.755050069902484	0.0	13.755050069902484
North	polaribacter	but	export	13.391130318449786	0.0	-13.391130318449786
North	roseobacter	ac	import	-0.0017601222439113	-13.366902485881065	-13.365142363637153
North	roseobacter	phe__L	export	0.0037355759396676	13.362439435894528	13.35870385995486
North	roseobacter	vacc	import	-13.34722779309526	0.0	13.34722779309526
North	roseobacter	L_Cystine	import	-13.346555633684698	0.0	13.346555633684698
West	polaribacter	drib	export	13.481995306805093	0.1514127460999271	-13.330582560705166
West	pelagibacter	L_Glutamate	export	13.267086045096262	0.0	-13.267086045096262
East	roseobacter	leuleu	import	-0.1768048066783459	-13.181261502882007	-13.004456696203661
East	roseobacter	o2	import	-12.927353975200027	0.0	12.927353975200027
North	synechococcus	mobd	import	-0.0038602604902423	-12.865006419454984	-12.861146158964742
West	pelagibacter	nh4	export	12.96434133522597	0.2878629578879644	-12.676478377338006
Central	prochlorococcus	sn_Glycerol_3_phosphate	import	-0.0021941836786866	-12.616095975475764	-12.613901791797078
Central	roseobacter	nh4	export	13.373727405124535	0.8602834780907862	-12.51344392703375
East	polaribacter	crn	export	13.8991845253867	1.4507352990297029	-12.448449226356997
East	roseobacter	ppap	export	12.564374099966988	0.1247728499321578	-12.43960125003483
North	polaribacter	serglugly	export	0.0	12.288716449870416	12.288716449870416
North	roseobacter	k	export	12.151302829789724	0.0	-12.151302829789724
East	pelagibacter	fe3dcit	export	12.085629849483148	0.0	-12.085629849483148
North	synechococcus	hco3	import	-12.276190309728648	-0.4703830758210161	11.805807233907633
North	polaribacter	glyglygln	export	11.484758258647515	0.0	-11.484758258647515
Central	roseobacter	btn	import	-0.6910846418230703	-12.104752247197936	-11.413667605374865
North	polaribacter	tyr__L	export	11.403818517518856	0.0	-11.403818517518856
East	prochlorococcus	bz	import	0.0	-11.3912558676154	-11.3912558676154
Central	roseobacter	o2	import	-11.325882890204504	-0.0019063597627445	11.32397653044176
North	prochlorococcus	glc__D	export	0.0099017646403693	11.301838685293566	11.291936920653196
Central	synechococcus	o2	import	-11.060466570726922	0.0	11.060466570726922
North	polaribacter	LalaDgluMdapDala	import	-11.02918933354706	0.0	11.02918933354706
North	polaribacter	ocdcea	export	11.000571123306491	0.0	-11.000571123306491
Central	roseobacter	pta	import	-10.882576470962858	0.0	10.882576470962858
East	polaribacter	but	import	0.0	-10.808346540217856	-10.808346540217856
Central	polaribacter	co2	export	10.65532395124558	0.0	-10.65532395124558
West	polaribacter	met__D	export	10.432676881758397	0.0	-10.432676881758397
West	pelagibacter	udcpdp	export	10.435919514738416	0.0458393147023425	-10.390080200036072
Central	pelagibacter	nh4	export	10.27470266879734	0.0005431472025453	-10.274159521594795
Central	prochlorococcus	glycogen	import	0.0	-10.091023588544754	-10.091023588544754
Central	polaribacter	gal	export	10.06443278450695	0.0	-10.06443278450695
North	roseobacter	phehpa	import	-0.0036729812992381	-10.065042009703786	-10.061369028404549
East	polaribacter	fe3	import	-10.03686590439982	0.0	10.03686590439982
Central	roseobacter	inost	import	-10.374794197712502	-0.4642124574999827	9.91058174021252
Central	roseobacter	feenter	import	-10.219028075656018	-0.3186120347981996	9.900416040857818
Central	roseobacter	asp__D	import	-10.003189956997264	-0.3090689856534672	9.694120971343796
West	polaribacter	tol	export	0.0	9.579373324124942	9.579373324124942
West	polaribacter	o2	import	-15.102746844674574	-5.585366843223942	9.517380001450633
North	pelagibacter	alatrp	import	0.0	-9.498804086094616	-9.498804086094616
East	polaribacter	ppap	export	9.43706043063011	0.0	-9.43706043063011
Central	pelagibacter	o2	import	-9.382041285982876	0.0	9.382041285982876
Central	pelagibacter	3mb	import	0.0	-9.32073112580258	-9.32073112580258
West	pelagibacter	o2	import	-10.389164416794994	-1.1373509297387574	9.251813487056237
West	pelagibacter	co2	export	10.538614695427276	1.362968797011023	-9.175645898416253
North	synechococcus	o2	export	0.0	9.16638853018306	9.16638853018306
North	pelagibacter	alatrp	export	9.140233162597733	0.0	-9.140233162597733
Central	polaribacter	o2	import	-9.242657126226904	-0.1890800972889732	9.05357702893793
East	roseobacter	phenona	export	0.0	9.023089380757463	9.023089380757463
East	synechococcus	o2	import	-8.95193874885906	0.0	8.95193874885906
East	polaribacter	co2	export	8.758420434629228	0.0	-8.758420434629228
East	roseobacter	h	import	-8.71606484365442	0.0	8.71606484365442
North	prochlorococcus	gsn	import	-9.910350810453547	-1.1980976581248768	8.712253152328671
North	pelagibacter	mn2	import	-8.672541558671671	-0.0007810207792182	8.671760537892453
North	pelagibacter	h2o	export	8.479886120884037	0.0	-8.479886120884037
East	pelagibacter	ind3ac	export	8.389956468166819	0.0	-8.389956468166819
East	polaribacter	dextrin	import	-8.353726181516366	-0.0098840873919342	8.343842094124431
East	polaribacter	o2	import	-8.290368789004852	-0.0056850308627654	8.284683758142085
North	roseobacter	hpta	export	8.280356660107813	0.0	-8.280356660107813
West	pelagibacter	h	import	-8.3709267004803	-0.1192976495693936	8.251629050910907
East	polaribacter	trp__L	export	0.0377796937778211	8.230726871085826	8.192947177308005
West	roseobacter	ser__L	import	-8.136820276666134	-0.0236974742953119	8.113122802370821
Central	polaribacter	tyr__L	export	0.0	7.9676772267087665	7.9676772267087665
North	prochlorococcus	S_Adenosyl_4_methylthio_2_oxobutanoate	import	-0.0144608942277762	-7.870066958572917	-7.855606064345141
North	roseobacter	rib__D	export	0.0	7.803026183867002	7.803026183867002
West	polaribacter	ala_L_asp__L	export	7.777667256812889	0.0	-7.777667256812889
Central	prochlorococcus	sel	export	0.0317374469339551	7.771028200514578	7.739290753580622
Central	synechococcus	nh4	import	-7.285175209230013	0.0	7.285175209230013
Central	pelagibacter	btn	import	0.0	-7.235505108201812	-7.235505108201812
East	prochlorococcus	co2	export	7.133552034027971	0.0149396476847315	-7.118612386343239
East	pelagibacter	o2	import	-7.174842423859399	-0.1265909386010528	7.048251485258346
Central	polaribacter	no2	import	-7.178317307762887	-0.1649566833215942	7.013360624441293
Central	polaribacter	glyc	export	7.105008091797876	0.1028309408565279	-7.002177150941348
Central	polaribacter	pheme	export	0.0010612976222491	6.958611755689834	6.957550458067584
East	roseobacter	octa	export	0.0125690185420412	6.9603294969946345	6.947760478452594
Central	prochlorococcus	pyr	export	0.0041508307485879	6.897962345547312	6.893811514798724
North	prochlorococcus	Artificial_protein	import	-6.878358587323633	-0.0005140016365963	6.877844585687036
East	pelagibacter	nh4	export	6.819901781451088	0.0	-6.819901781451088
Central	roseobacter	tol	import	-0.0071861311441936	-6.790875752125918	-6.783689620981725
East	polaribacter	citr__L	export	6.777098791399336	0.0023366020705862	-6.77476218932875
East	prochlorococcus	h2o	export	6.716572339305519	0.0	-6.716572339305519
East	pelagibacter	cit	export	6.69880342698639	0.0	-6.69880342698639
Central	roseobacter	4abut	import	-0.1965239097654542	-6.826712458913718	-6.630188549148264
Central	prochlorococcus	S_Malate	import	-6.856653821657633	-0.2279585044943057	6.628695317163327
North	pelagibacter	glyphe	import	-6.609861103333114	-0.0001425955211523	6.609718507811961
North	prochlorococcus	FAD	import	-0.0009461250258957	-6.602789446094567	-6.601843321068672
West	roseobacter	h	import	-6.672426603662889	-0.0767526024668555	6.595674001196033
East	roseobacter	malttr	export	0.0	6.525503124473095	6.525503124473095
North	polaribacter	gly_pro__L	import	-6.476413571894064	-0.002379121431652	6.474034450462412
West	synechococcus	o2	import	-6.598533309357127	-0.1889265772040059	6.409606732153121
West	polaribacter	LalaDglu	export	6.3891046764677775	0.0	-6.3891046764677775
Central	roseobacter	rib__D	import	-6.375959932300365	-0.0003276522409206	6.3756322800594445
East	polaribacter	etoh	export	0.0	6.294702377410849	6.294702377410849
West	polaribacter	ala_gln	import	-6.289185326997711	-0.0081735308189763	6.281011796178735
East	prochlorococcus	xtsn	import	-0.3409141657809086	-6.534618911309146	-6.193704745528238
North	pelagibacter	but	export	0.0	6.01315906914171	6.01315906914171
West	roseobacter	crn	export	0.0	5.9691691467105	5.9691691467105
North	pelagibacter	ala_L_asp__L	export	5.95037546497784	0.0	-5.95037546497784
Central	roseobacter	4hpro_LT	import	-6.3435525597665805	-0.4163257960448855	5.927226763721695
East	pelagibacter	cit	import	0.0	-5.925092972221449	-5.925092972221449
Central	pelagibacter	phenona	import	-0.0065949836614254	-5.784043201932023	-5.777448218270598
West	pelagibacter	malthp	import	-5.732148929050397	-0.0122495431259385	5.7198993859244585
Central	roseobacter	cgly	import	-0.0026580227140342	-5.707491318147379	-5.704833295433344
West	roseobacter	gly_glu__L	import	-5.700646116574489	-0.0046677234473565	5.695978393127132
North	pelagibacter	25dkglcn	import	-5.680009696617316	-0.0033323844191281	5.676677312198188
West	roseobacter	leu__L_m	export	5.616575330216202	0.0	-5.616575330216202
North	polaribacter	R_3httdca	export	5.553659842494291	0.0	-5.553659842494291
Central	prochlorococcus	photon	export	5.483521876355688	0.0	-5.483521876355688
North	polaribacter	duri	export	5.480969382666055	0.0011764006289005	-5.4797929820371545
West	synechococcus	hco3	export	0.0043943797053408	5.444514726708919	5.440120347003578
North	pelagibacter	udcpdp	export	5.4274202202621735	0.0	-5.4274202202621735
East	prochlorococcus	ac	import	-5.371013385665307	0.0	5.371013385665307
East	prochlorococcus	h	export	7.799866060900324	2.4405788669665696	-5.3592871939337545
North	roseobacter	lys__D	export	5.7912730777544255	0.4738458918548578	-5.317427185899568
North	pelagibacter	gly_glu__L	import	-5.191575738503146	0.0	5.191575738503146
Central	roseobacter	g3pc	export	5.607518977647058	0.4721461699466414	-5.135372807700417
North	polaribacter	ala_L_asp__L	import	-5.124742557574224	-0.001604079966956	5.1231384776072675
Central	prochlorococcus	co2	export	5.122459826487904	0.0	-5.122459826487904
East	polaribacter	glyb	import	-5.264048114704746	-0.1466286046334755	5.1174195100712705
West	roseobacter	L_Glutamate	export	5.07122769908348	0.0	-5.07122769908348
West	roseobacter	hexs	import	-5.070899822152381	0.0	5.070899822152381
North	polaribacter	tol	import	-4.995373435024428	0.0	4.995373435024428
Central	roseobacter	meoh	import	0.0	-4.960380441118745	-4.960380441118745
North	roseobacter	fe2	import	-0.2028669725150023	-5.107174631842193	-4.904307659327191
East	pelagibacter	salc	import	-4.915609613015568	-0.0477984615726802	4.867811151442888
Central	polaribacter	feenter	export	6.661338322457295	1.8006547689850512	-4.860683553472244
East	roseobacter	ala_L_glu__L	import	0.0	-4.837637743137653	-4.837637743137653
East	roseobacter	so4	export	4.774503798771645	0.008365518889336	-4.766138279882309
East	pelagibacter	pyovd_kt	export	4.73450381014763	0.0	-4.73450381014763
Central	pelagibacter	h	import	-4.727581742413949	-0.0073990491575098	4.720182693256439
Central	roseobacter	thm	import	0.0	-4.71118486535224	-4.71118486535224
Central	pelagibacter	phe__L	import	-4.690725778606035	0.0	4.690725778606035
North	pelagibacter	agm	export	4.577590135385266	0.0	-4.577590135385266
West	polaribacter	h2o	export	10.31802137627723	5.763504538802669	-4.55451683747456
North	roseobacter	arg__L	import	0.0	-4.493862663274943	-4.493862663274943
East	prochlorococcus	for	export	4.470201752049458	0.0	-4.470201752049458
West	pelagibacter	taur	export	4.467851173910138	0.0022385108017931	-4.465612663108345
East	pelagibacter	cgly	export	4.457150024568432	0.012574177001484	-4.444575847566949
East	pelagibacter	chol	import	-5.917972088957418	-1.476277912274834	4.441694176682584
West	prochlorococcus	trp__L	export	4.429584726876649	0.0	-4.429584726876649
North	roseobacter	malttr	import	-9.22695491771257	-4.810275299639651	4.416679618072919
East	roseobacter	glyc	import	-4.400146614640806	0.0	4.400146614640806
Central	pelagibacter	val__L	export	4.3575400666003095	0.0	-4.3575400666003095
Central	roseobacter	fe3pyovd_kt	import	0.0	-4.35022112715749	-4.35022112715749
East	roseobacter	gthox	export	0.0	4.322647524644244	4.322647524644244
East	roseobacter	alahis	export	4.304107653474954	0.0286740535863802	-4.275433599888574
West	polaribacter	fe3dcit	export	0.0	4.223243358840088	4.223243358840088
Central	pelagibacter	d23hb	import	-4.217799987948573	0.0	4.217799987948573
North	roseobacter	enter	import	-0.0022980813045061	-3.9748168574004414	-3.9725187760959355
North	prochlorococcus	h2o	import	-0.1116656029291999	-4.068004393590342	-3.956338790661142
East	pelagibacter	lcts	export	3.9395706853848105	0.0	-3.9395706853848105
West	roseobacter	o2	import	-7.195776676373015	-3.262869123442294	3.932907552930721
North	polaribacter	salchsx	export	0.0	3.9023925872889778	3.9023925872889778
Central	prochlorococcus	h2o	export	3.941020350505456	0.0768412525214026	-3.864179097984054
Central	prochlorococcus	o2	import	-3.872668480769339	-0.0092666921535975	3.8634017886157417
East	polaribacter	chor	export	0.0	3.8598349394549896	3.8598349394549896
Central	prochlorococcus	for	export	3.85847411495042	0.0	-3.85847411495042
East	polaribacter	chol	export	7.540729624261078e-06	3.8312650068505048	3.8312574661208805
West	prochlorococcus	S_Methyl_5_thio_D_ribose	export	3.796939245106017	0.0143588901291102	-3.782580354976907
West	polaribacter	h	import	-3.829847300236689	-0.0845364211739819	3.745310879062707
North	roseobacter	hpta	import	0.0	-3.707174053284333	-3.707174053284333
North	pelagibacter	gly_asn__L	import	0.0	-3.653823364870024	-3.653823364870024
East	prochlorococcus	hco3	import	-3.634890836309724	0.0	3.634890836309724
North	pelagibacter	gly_glu__L	export	0.0	3.616769263821775	3.616769263821775
East	polaribacter	h2o	export	3.607361003087498	0.0	-3.607361003087498
West	roseobacter	h2o	export	0.0	3.606806439005732	3.606806439005732
Central	pelagibacter	diact	export	0.0	3.5592447264527625	3.5592447264527625
North	roseobacter	pi	export	0.0596050076570508	3.5965542742248093	3.5369492665677584
West	prochlorococcus	15dap	export	0.0038354854850052	3.4656528611398927	3.4618173756548876
Central	prochlorococcus	cd2	import	-0.0009047044441887	-3.433850773939054	-3.4329460694948652
Central	roseobacter	glyglu	import	-3.7264879532736175	-0.3087677307039752	3.4177202225696424
East	polaribacter	uri	import	0.0	-3.4086104661234926	-3.4086104661234926
Central	roseobacter	fru	export	3.3818588555334976	0.0	-3.3818588555334976
East	prochlorococcus	succ	export	0.0024338377186426	3.366793199489406	3.364359361770763
Central	polaribacter	cu2	import	-4.209402149381263	-0.927049573946098	3.282352575435165
Central	roseobacter	salchs4	export	3.2660946781763127	0.0001166702065189	-3.2659780079697938
Central	polaribacter	fe3	import	0.0	-3.245127308100608	-3.245127308100608
East	pelagibacter	cellb	import	-3.233429954869722	0.0	3.233429954869722
West	pelagibacter	s	import	-3.214017803433669	-0.0037724645100438	3.210245338923625
East	synechococcus	o2	export	0.0	3.208473346868687	3.208473346868687
East	roseobacter	4abut	export	3.177833047909665	0.0	-3.177833047909665
East	roseobacter	ala_L_asp__L	export	3.285272591250281	0.1230660254392668	-3.1622065658110143
West	prochlorococcus	ile__L	export	3.13130215241164	0.0	-3.13130215241164
North	prochlorococcus	h	export	0.0	3.055540115696607	3.055540115696607
North	prochlorococcus	lys__L	export	3.081694991190723	0.0512340192652648	-3.030460971925458
Central	pelagibacter	co2	export	7.025504804509521	3.999789336600332	-3.025715467909189
North	pelagibacter	cinnm	import	-5.9993313375566897e-05	-3.0113593536673062	-3.011299360353931
Central	roseobacter	malttr	export	0.0024154119030817	3.007090761267138	3.004675349364056
East	prochlorococcus	ppt	export	2.993366684521561	0.0177686093183264	-2.975598075203235
North	roseobacter	glyc2p	import	-2.9620509072893384	0.0	2.9620509072893384
East	polaribacter	h	import	-2.97006888849492	-0.0105428056058602	2.9595260828890595
Central	pelagibacter	4ahmmp	import	-5.7150197257789374e-05	-2.948522712174149	-2.9484655619768914
North	pelagibacter	feenter	export	2.944846558994518	0.0	-2.944846558994518
Central	prochlorococcus	btn	export	0.0	2.9284597387528506	2.9284597387528506
East	pelagibacter	pyovd_kt	import	0.0	-2.909864273702852	-2.909864273702852
Central	prochlorococcus	Apo_acyl_carrier_protein	import	-2.8439333753949723	0.0	2.8439333753949723
Central	synechococcus	h	export	2.762020710245954	0.0	-2.762020710245954
West	pelagibacter	phedca	export	2.75329424781178	0.0	-2.75329424781178
West	polaribacter	glyc	export	2.7168061159908574	0.0	-2.7168061159908574
West	synechococcus	nh4	import	-2.717315760842787	-0.0070131534003955	2.7103026074423915
North	pelagibacter	actn__R	import	0.0	-2.7022716795137804	-2.7022716795137804
North	pelagibacter	ppa	export	2.6921468560014814	0.0005817808872465	-2.691565075114235
Central	prochlorococcus	cobalt2	export	0.0	2.6814288811463665	2.6814288811463665
North	polaribacter	arab__L	export	0.0	2.663481711292943	2.663481711292943
East	prochlorococcus	FAD	import	-2.653509674808131	0.0	2.653509674808131
North	roseobacter	g3pg	export	2.649763228040133	0.000339913499672	-2.649423314540461
Central	roseobacter	ribflv	import	-8.699586748258834e-05	-2.6159753988993053	-2.6158884030318226
West	roseobacter	h2o2	export	0.0	2.611887946927525	2.611887946927525
East	pelagibacter	hxan	import	-2.580155110179706	-0.000393888190478	2.579761221989228
Central	pelagibacter	oxa	export	2.572548426245606	0.0010172775381788	-2.5715311487074275
North	pelagibacter	salchs4fe	export	0.0001598023009591	2.5515952226703607	2.5514354203694016
East	synechococcus	nh4	import	-2.539647684011344	0.0	2.539647684011344
East	pelagibacter	gly_asp__L	import	-2.7552690969397866	-0.2316287152340396	2.523640381705747
West	polaribacter	nh4	export	2.507688808962888	0.0	-2.507688808962888
East	roseobacter	leu__L_m	import	-0.0232314807220997	-2.5222708367237736	-2.4990393560016737
West	prochlorococcus	thymd	import	0.0	-2.493666593635689	-2.493666593635689
Central	roseobacter	etoh	import	0.0	-2.491293602998411	-2.491293602998411
East	roseobacter	cell4	import	-0.0196843968618763	-2.498676132979318	-2.4789917361174414
West	roseobacter	k	export	0.0	2.471726382809921	2.471726382809921
East	polaribacter	skm	export	2.758824947610635	0.2973926821529483	-2.461432265457687
East	pelagibacter	gua	export	0.0	2.445318127532954	2.445318127532954
East	prochlorococcus	ser__L	import	-2.443446374759032	0.0	2.443446374759032
East	roseobacter	for	export	0.0	2.437890572018198	2.437890572018198
East	polaribacter	15dap	export	0.0	2.437229108830052	2.437229108830052
Central	polaribacter	35dnta	export	1.4094569363137928e-05	2.4308550725405937	2.4308409779712306
Central	roseobacter	octa	export	0.0	2.410734011847909	2.410734011847909
North	prochlorococcus	thr__L	import	-2.396567541215401	0.0	2.396567541215401
East	polaribacter	glyc3p	export	2.408021283710318	0.0129729655109617	-2.3950483181993563
North	synechococcus	fe3	export	2.385093876318463	0.0	-2.385093876318463
Central	pelagibacter	25dkglcn	import	-2.3679719056371384	-0.0021049957243514	2.365866909912787
West	prochlorococcus	thr__L	import	0.0	-2.359759163545624	-2.359759163545624
Central	polaribacter	4ahmmp	import	0.0	-2.3536689912929805	-2.3536689912929805
Central	pelagibacter	hishis	import	-2.6238800934269344	-0.2741700120605695	2.3497100813663647
East	prochlorococcus	tRNA	import	-0.0170807546673421	-2.349050175707868	-2.331969421040526
North	polaribacter	hxan	import	0.0	-2.32742901996245	-2.32742901996245
North	roseobacter	gthox	import	-2.3267365635210195	-0.003417842952544	2.3233187205684755
West	prochlorococcus	co2	export	2.701621015793525	0.3850809602778013	-2.316540055515724
Central	roseobacter	ser__L	import	-2.292990201327873	0.0	2.292990201327873
West	roseobacter	chol	export	2.291804643323655	0.0010223267087145	-2.2907823166149406
East	roseobacter	lnlc	export	2.378276837611427	0.0956912318889859	-2.282585605722441
Central	prochlorococcus	hco3	import	-2.276130799441716	0.0	2.276130799441716
Central	polaribacter	h	import	-2.5287270399673805	-0.2547261642500673	2.2740008757173134
East	roseobacter	alatrp	import	0.0	-2.2569308311927387	-2.2569308311927387
Central	prochlorococcus	gln__L	export	2.230894021501315	0.0	-2.230894021501315
East	synechococcus	h	export	2.163564665243632	0.0	-2.163564665243632
North	roseobacter	mobd	export	2.154692334434857	0.006939219018166	-2.147753115416691
East	roseobacter	carn	import	0.0	-2.1347390385987275	-2.1347390385987275
North	polaribacter	sucr	import	-4.150461884685933e-06	-2.1233736275797392	-2.1233694771178544
West	prochlorococcus	ca2	export	0.0	2.119712232062741	2.119712232062741
East	polaribacter	glc__D	export	0.049251885425097	2.162963251131421	2.113711365706324
East	prochlorococcus	thymd	export	0.0	2.1066574365948147	2.1066574365948147
Central	polaribacter	dextrin	export	0.0	2.097263802413337	2.097263802413337
East	roseobacter	asp__D	import	-2.0966725963977377	0.0	2.0966725963977377
Central	roseobacter	arg__L	export	0.0	2.0963939725562155	2.0963939725562155
West	pelagibacter	pea	export	2.0943329060995586	0.0001921662780899	-2.094140739821469
West	roseobacter	gthox	import	0.0	-2.089265911793281	-2.089265911793281
East	prochlorococcus	cu2	import	0.0	-2.0863522040986635	-2.0863522040986635
North	prochlorococcus	fe2	import	0.0	-2.080126766741095	-2.080126766741095
North	prochlorococcus	15dap	export	2.076809013884244	0.0	-2.076809013884244
East	prochlorococcus	nh4	export	2.117453021836812	0.0596969220112664	-2.057756099825546
Central	polaribacter	nh4	export	2.015744844161436	0.0004777188618072	-2.015267125299629
East	roseobacter	nh4	import	0.0	-2.009376755473583	-2.009376755473583
Central	roseobacter	alathr	export	1.998691653981968	0.0	-1.998691653981968
