metabolite	name	molecular_weight	C_number	N_number	sbo	kegg.compound	chebi	hmdb	lipidmaps	biocyc	metanetx.chemical	inchikey	seed.compound	reactome	kegg.drug	kegg.glycan	reaction
4abz_e	4_Aminobenzoate[e]	0.0	0	0													EX_4abz_e
5_Methylthioadenosine[e]	5_Methylthioadenosine[e]	0.0	0	0													5_MethylthioadenosineEX
ade_e	Adenine[e]	0.0	0	0													EX_ade_e
Dethiobiotin[e]	Dethiobiotin[e]	0.0	0	0													DethiobiotinEX
gua_e	Guanine[e]	0.0	0	0													EX_gua_e
gsn_e	Guanosine[e]	0.0	0	0													EX_gsn_e
bz_e	4_Hydroxybenzoate[e]	0.0	0	0													EX_bz_e
etoh_e	Ethanol[e]	0.0	0	0													EX_etoh_e
S_Malate[e]	S_Malate[e]	0.0	0	0													EX_mal__D_e
h2o2_e	Hydrogen peroxide	34.01468	0	0													EX_h2o2_e
23dappa_e	2,3-diaminopropionate	104.10782	3	2	SBO:0000247	['C03401', 'C06393']	['CHEBI:11419', 'CHEBI:13043', 'CHEBI:16303', 'CHEBI:18383', 'CHEBI:19309', 'CHEBI:21190', 'CHEBI:42159', 'CHEBI:42164', 'CHEBI:49983', 'CHEBI:57721', 'CHEBI:58468', 'CHEBI:6153', 'CHEBI:84374', 'CHEBI:876']	HMDB02006	LMFA01100051	['META:23-Diaminopropanoate', 'META:L-23-DIAMINOPROPANOATE']	MNXM91374	PECYZEOJVXMISF-REOHCLBHSA-N	['cpd02150', 'cpd03828', 'cpd21925']				EX_23dappa_e
25dkglcn_e	2,5-diketo-D-gluconate	191.11558	6	0	SBO:0000247	C02780	['CHEBI:1070', 'CHEBI:11449', 'CHEBI:18281', 'CHEBI:19378', 'CHEBI:58428']		LMFA01050471	META:25-DIDEHYDRO-D-GLUCONATE	MNXM936	RXMWXENJQAINCC-DMTCNVIQSA-M	cpd01793				EX_25dkglcn_e
2mbald_e	2 methylbutyraldehyde C5H10O	86.1323	5	0	SBO:0000247	C02223	['CHEBI:11615', 'CHEBI:1200', 'CHEBI:16182', 'CHEBI:19692']	HMDB31526		META:METHYLBUT-CPD	MNXM2604	BYGQBDHUGHBGMD-UHFFFAOYSA-N	cpd01499				EX_2mbald_e
3h4atb_e	3 Hydroxy 4 acetylthiobutanoic acid	17.00734	0	0	SBO:0000247												EX_3h4atb_e
3mb_e	3-Methylbutanoic acid	101.12376	5	0	SBO:0000247	C08262	['CHEBI:24930', 'CHEBI:28484', 'CHEBI:43426', 'CHEBI:48942', 'CHEBI:6069']	HMDB00718	LMFA01020181	META:ISOVALERATE	MNXM7454	GWYFCOCPABKNJV-UHFFFAOYSA-M	cpd05178				EX_3mb_e
4ahmmp_e	4-Amino-5-hydroxymethyl-2-methylpyrimidine	139.15516	6	3	SBO:0000247	C01279	['CHEBI:11957', 'CHEBI:16892', 'CHEBI:1781', 'CHEBI:20312', 'CHEBI:43206']			META:HMP	MNXM874	VUTBELPREDJDDH-UHFFFAOYSA-N	cpd00939				EX_4ahmmp_e
4hba_e	4-Hydroxy-benzyl alcohol	124.13722	7	0	SBO:0000247	C17467	CHEBI:67410	HMDB11724		META:4-HYDROXY-BENZYL-ALCOHOL	MNXM107505	BVJSUAQZOZWCKN-UHFFFAOYSA-N	['cpd15378', 'cpd17595']				EX_4hba_e
4hphac_e	4-Hydroxyphenylacetate	151.13938	8	0	SBO:0000247	C13636	CHEBI:31128	HMDB60390			MNXM3863	HBMCQTHGYMTCOF-UHFFFAOYSA-N	cpd19151				EX_4hphac_e
4hpro_LT_e	Trans 4 Hydroxy L proline C5H9NO3	131.12986	5	1	SBO:0000247	['C01157', 'C03651']	['CHEBI:10713', 'CHEBI:10714', 'CHEBI:12864', 'CHEBI:18095', 'CHEBI:20392', 'CHEBI:27059', 'CHEBI:27060', 'CHEBI:27992', 'CHEBI:43172', 'CHEBI:43210', 'CHEBI:43227', 'CHEBI:43318', 'CHEBI:49360', 'CHEBI:58375', 'CHEBI:62978', 'CHEBI:63137']	['HMDB00725', 'HMDB36576']		['META:4-HYDROXY-L-PROLINE', 'META:CPD-17742']	MNXM87584	PMMYEEVYMWASQN-DMTCNVIQSA-N	['cpd00851', 'cpd02291', 'cpd29317']				EX_4hpro_LT_e
5aptn_e	5-Aminopentanoate	117.14634	5	1	SBO:0000247	C00431	['CHEBI:12111', 'CHEBI:15887', 'CHEBI:2037', 'CHEBI:20549', 'CHEBI:356010', 'CHEBI:41853', 'CHEBI:86394']	HMDB03355	LMFA01100040	META:5-AMINOPENTANOATE	MNXM792	JJMDCOVWQOJGCB-UHFFFAOYSA-N	cpd00339				EX_5aptn_e
5dglcn_e	5-Dehydro-D-gluconate	193.13146	6	0	SBO:0000247	C01062	['CHEBI:12120', 'CHEBI:12121', 'CHEBI:17426', 'CHEBI:2051', 'CHEBI:20564', 'CHEBI:58143']			META:5-DEHYDROGLUCONATE	MNXM963	IZSRJDGCGRAUAR-MROZADKFSA-M	cpd00781				EX_5dglcn_e
6pgc_e	6-Phospho-D-gluconate	273.111361	6	0	SBO:0000247	C00345	['CHEBI:12232', 'CHEBI:16863', 'CHEBI:2231', 'CHEBI:33851', 'CHEBI:40282', 'CHEBI:48928', 'CHEBI:58759']	['HMDB01316', 'HMDB62800']		META:CPD-2961	MNXM325	BIRSGZKFKXLSJQ-SQOUGZDYSA-K	cpd00284	R-ALL-29996			EX_6pgc_e
LalaDgluMdapDala_e	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	460.45889999999997	18	5	SBO:0000247						MNXM59271	BAPAFFOXTCMVCC-UHFFFAOYSA-M	cpd15387				EX_LalaDgluMdapDala_e
LalaLglu_e	L-alanine-L-glutamate	217.19922	8	2	SBO:0000247	C20958	['CHEBI:61396', 'CHEBI:61565']			META:CPD0-1445	MNXM4026	VYZAGTDAHUIRQA-WHFBIAKZSA-M	cpd15388				EX_LalaLglu_e
R_3h6atha_e	 3 Hydroxy 6acetylthiohexanoic acid	43.04462	2	0	SBO:0000247												EX_R_3h6atha_e
R_3hnonaa_e	 3 hydroxynonanoic acid	171.21359999999999	9	0	SBO:0000247												EX_R_3hnonaa_e
R_3htd58e_e	 3 hydroxy  5Z 8Z  tetradecedienic acid	237.31474	14	0	SBO:0000247												EX_R_3htd58e_e
R_3htd5e_e	 3 hydroxy  5Z  tetradecenic acid	241.3465	14	0	SBO:0000247												EX_R_3htd5e_e
acald_e	Acetaldehyde	44.05256	2	0	SBO:0000247	C00084	['CHEBI:13703', 'CHEBI:15343', 'CHEBI:22158', 'CHEBI:2383', 'CHEBI:40533']	HMDB00990		META:ACETALD	MNXM75	IKHGUXGNUITLKF-UHFFFAOYSA-N	cpd00071	['R-ALL-113532', 'R-ALL-113681', 'R-ALL-113745', 'R-ALL-29510']			EX_acald_e
acon_C_e	Cis-Aconitate	171.08442	6	0	SBO:0000247	C00417	['CHEBI:10482', 'CHEBI:12798', 'CHEBI:16383', 'CHEBI:23306', 'CHEBI:23308', 'CHEBI:32805']	['HMDB00072', 'HMDB00461']		META:CIS-ACONITATE	MNXM813	GTZCVFVGUGFEME-IWQZZHSRSA-K	cpd00331				EX_acon_C_e
actn__R_e	 R  Acetoin C4H8O2	88.10512	4	0	SBO:0000247	C00810	['CHEBI:10968', 'CHEBI:10996', 'CHEBI:15686', 'CHEBI:18680', 'CHEBI:335', 'CHEBI:43026']		LMFA12000064	META:CPD-10353	MNXM664	ROWKJAVDOGWPAT-GSVOUGTGSA-N	cpd19008				EX_actn__R_e
agm_e	Agmatine	132.20734	5	4	SBO:0000247	C00179	['CHEBI:13747', 'CHEBI:17431', 'CHEBI:18576', 'CHEBI:2514', 'CHEBI:40556', 'CHEBI:58145']	['HMDB01432', 'HMDB60259']		META:AGMATHINE	MNXM328	QYPPJABKJHAVHS-UHFFFAOYSA-P	cpd00152	R-ALL-351164			EX_agm_e
ala_L_asp__L_e	Ala L asp L C7H11N2O5	203.17264	7	2	SBO:0000247		['CHEBI:73803', 'CHEBI:74363']			META:CPD-13404	MNXM40494	XAEWTDMGFGHWFK-IMJSIDKUSA-M	cpd11593				EX_ala_L_asp__L_e
ala_L_glu__L_e	Ala L glu L C8H13N2O5	217.19922	8	2	SBO:0000247						MNXM8263		cpd11586				EX_ala_L_glu__L_e
alahis_e	L alaninylhistidine	226.23246	9	4	SBO:0000247												EX_alahis_e
alaleu_e	L alaninylleucine	202.25082	9	2	SBO:0000247												EX_alaleu_e
alathr_e	L alaninylthreonine	190.19706	7	2	SBO:0000247												EX_alathr_e
alatrp_e	L alaninyltryptophan	275.30308	14	3	SBO:0000247												EX_alatrp_e
alltn_e	Allantoin	158.11544	4	4	SBO:0000247	C01551	['CHEBI:13761', 'CHEBI:15676', 'CHEBI:22354', 'CHEBI:2594', 'CHEBI:74345']	HMDB00462		META:ALLANTOIN	MNXM612	POJWUDADGALRAB-UHFFFAOYSA-N	cpd01092		D00121		EX_alltn_e
anhgm_e	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	477.43976	19	2	SBO:0000247						MNXM3060		cpd15396				EX_anhgm_e
asp__D_e	D-Aspartate	132.09474	4	1	SBO:0000247	C00402	['CHEBI:12918', 'CHEBI:17364', 'CHEBI:20919', 'CHEBI:20920', 'CHEBI:29990', 'CHEBI:29994', 'CHEBI:4108']	HMDB06483		META:CPD-302	MNXM974	CKLJMWTZIZZHCS-UWTATZPHSA-M	cpd00320				EX_asp__D_e
but_e	Butyrate (n-C4:0)	87.09718	4	0	SBO:0000247						MNXM162281						EX_but_e
catechol_e	Catechol	110.11064	6	0	SBO:0000247	['C00090', 'C01785', 'C15571']	['CHEBI:135158', 'CHEBI:13950', 'CHEBI:18135', 'CHEBI:23054', 'CHEBI:32402', 'CHEBI:3467', 'CHEBI:41441', 'CHEBI:50524']	HMDB00957		['META:CATECHOL', 'META:Catechols']	MNXM181	YCIMNLLNPGFGHC-UHFFFAOYSA-N	['cpd00077', 'cpd01232']				EX_catechol_e
cell4_e	Cellulose (n=4 repeating units)	666.57768	24	0	SBO:0000247						MNXM147063						EX_cell4_e
cellb_e	Cellobiose	342.29648000000003	12	0	SBO:0000247	['C00185', 'C06421', 'C06422']	['CHEBI:10358', 'CHEBI:22836', 'CHEBI:35462', 'CHEBI:36217', 'CHEBI:41353']	HMDB00055		META:CELLOBIOSE	MNXM1142	GUBGYTABKSRVRQ-QRZGKKJRSA-N	cpd03845			G00289	EX_cellb_e
cgly_e	Cys Gly C5H10N2O3S	178.2095	5	2	SBO:0000247	C01419	['CHEBI:4047', 'CHEBI:61694']	['HMDB00078', 'HMDB28775']		META:CYS-GLY	MNXM683	ZUKPVRWZDMRIEO-VKHMYHEASA-N	cpd01017	['R-ALL-1247904', 'R-ALL-1247934']			EX_cgly_e
chol_e	Choline C5H14NO	104.17076	5	1	SBO:0000247	C00114	['CHEBI:13985', 'CHEBI:15354', 'CHEBI:23212', 'CHEBI:3665', 'CHEBI:41524', 'CHEBI:72322']	HMDB00097		META:CHOLINE	MNXM90	OEYIOHPDSNJKLS-UHFFFAOYSA-N	cpd00098	['R-ALL-264618', 'R-ALL-264638', 'R-ALL-6798162']	['D07690', 'D10498']		EX_chol_e
cinnm_e	Trans-Cinnamate	147.15068	9	0	SBO:0000247	['C00423', 'C10438']	['CHEBI:10720', 'CHEBI:10955', 'CHEBI:12871', 'CHEBI:12879', 'CHEBI:15669', 'CHEBI:23248', 'CHEBI:23250', 'CHEBI:27072', 'CHEBI:27073', 'CHEBI:27386', 'CHEBI:35697', 'CHEBI:35699', 'CHEBI:35700', 'CHEBI:3710', 'CHEBI:45845']	['HMDB00567', 'HMDB00930']		META:CPD-674	MNXM438	WBYWAXJHAXSJNI-VOTSOKGWSA-M	['cpd00333', 'cpd07326']				EX_cinnm_e
creat_e	Creatine cytosol	131.13316	4	3	SBO:0000247	C00791	['CHEBI:14029', 'CHEBI:16737', 'CHEBI:23406', 'CHEBI:3910']	HMDB00562		META:CREATININE	MNXM1470	DDRJAANPRJIHGJ-UHFFFAOYSA-N	cpd00585	R-ALL-30733	D03600		EX_creat_e
crn_e	L-Carnitine	161.1989	7	1	SBO:0000247	['C00318', 'C00487']	['CHEBI:11817', 'CHEBI:13091', 'CHEBI:13947', 'CHEBI:16347', 'CHEBI:17126', 'CHEBI:20047', 'CHEBI:21256', 'CHEBI:23038', 'CHEBI:29085', 'CHEBI:3424', 'CHEBI:39547', 'CHEBI:6202']	['HMDB00062', 'HMDB01467', 'HMDB62496']		META:CARNITINE	MNXM173	PHIQHXFUZVPYII-ZCFIWIBFSA-N	['cpd00266', 'cpd19003']	['R-ALL-164988', 'R-ALL-201023', 'R-ALL-30235', 'R-ALL-390294', 'R-ALL-549207']	D02176		EX_crn_e
d23hb_e	2,3-dihydroxybenzoate	154.12014	7	0	SBO:0000247												EX_d23hb_e
diact_e	Diacetyl C4H6O2	86.08924	4	0	SBO:0000247	C00741	['CHEBI:14134', 'CHEBI:16583', 'CHEBI:4479']	HMDB03407	LMFA12000012	META:DIACETYL	MNXM1467	QSJXEFYPDANLFS-UHFFFAOYSA-N	cpd00551				EX_diact_e
drib_e	Deoxyribose C5H10O4	134.13049999999998	5	0	SBO:0000247	C01801	CHEBI:90761	HMDB03224			MNXM90412	PDWIQYODPROSQH-PYHARJCCSA-N	cpd01242				EX_drib_e
enter_e	Enterochelin	668.53854	30	3	SBO:0000247	C05821	['CHEBI:23923', 'CHEBI:28855', 'CHEBI:38150', 'CHEBI:4799', 'CHEBI:77805']	HMDB32199		META:ENTEROBACTIN	MNXM883	SERBHKJMVBATSJ-BZSNNMDCSA-M	cpd03453	R-ALL-1222366			EX_enter_e
etha_e	Ethanolamine	62.09102	2	1	SBO:0000247	C00189	['CHEBI:14223', 'CHEBI:16000', 'CHEBI:23979', 'CHEBI:272066', 'CHEBI:42323', 'CHEBI:4880', 'CHEBI:57603']	['HMDB00149', 'HMDB62693']		META:ETHANOL-AMINE	MNXM218	HZAXFHJVJLSVMW-UHFFFAOYSA-O	cpd00162		D05074		EX_etha_e
fald_e	Formaldehyde	30.02598	1	0	SBO:0000247	C00067	['CHEBI:14274', 'CHEBI:16842', 'CHEBI:24077', 'CHEBI:337763', 'CHEBI:5142']	HMDB01426		['META:CARBONYL-GROUP', 'META:FORMALDEHYDE']	MNXM56	WSFSSNUMVMOOMR-UHFFFAOYSA-N	cpd00055	['R-ALL-143501', 'R-ALL-29478', 'R-ALL-6797920', 'R-ALL-879250']	D00017		EX_fald_e
fe3dcit_e	Fe(III)dicitrate	434.0444	12	0	SBO:0000247	C06229					MNXM146388		cpd03725				EX_fe3dcit_e
fe3pyovd_kt_e	Ferrypyoverdine  P putida KT2440 specific	808.57302	27	10	SBO:0000247												EX_fe3pyovd_kt_e
feenter_e	Fe-enterobactin	724.38354	30	3	SBO:0000247	C06230	['CHEBI:21133', 'CHEBI:28199', 'CHEBI:38151', 'CHEBI:4993', 'CHEBI:70745']				MNXM7354	NGILTSZTOFYVBF-UVJOBNTFSA-H		R-ALL-1222421			EX_feenter_e
fuc_e	L-fuculose	164.15648	6	0	SBO:0000247												EX_fuc_e
g3pe_e	Sn-Glycero-3-phosphoethanolamine	215.14152099999998	5	1	SBO:0000247	C01233	['CHEBI:10647', 'CHEBI:12842', 'CHEBI:16929', 'CHEBI:26699', 'CHEBI:57952']	HMDB59660		META:L-1-GLYCEROPHOSPHORYLETHANOL-AMINE	MNXM368	JZNWSCPGTDBMEW-YFKPBYRVSA-N	cpd00908	R-ALL-1524023			EX_g3pe_e
galct__D_e	D-Galactarate	208.12292	6	0	SBO:0000247	C00879	['CHEBI:12929', 'CHEBI:14285', 'CHEBI:16537', 'CHEBI:17444', 'CHEBI:20944', 'CHEBI:24135', 'CHEBI:24136', 'CHEBI:24137', 'CHEBI:30852', 'CHEBI:33799', 'CHEBI:35390', 'CHEBI:4130', 'CHEBI:48871', 'CHEBI:5250']	['HMDB00639', 'HMDB03435']	LMFA01170107	META:D-GALACTARATE	MNXM1080	DSLZVSRJTYRBFB-DUHBMQHGSA-L	cpd00652				EX_galct__D_e
glcn_e	D-Gluconate	195.14734	6	0	SBO:0000247	C00257	['CHEBI:12955', 'CHEBI:18391', 'CHEBI:20983', 'CHEBI:20985', 'CHEBI:20986', 'CHEBI:24265', 'CHEBI:24266', 'CHEBI:33198', 'CHEBI:4157', 'CHEBI:42715']	['HMDB00625', 'HMDB03373']		META:GLUCONATE	MNXM341	RGHNJXZEOKUKBD-SQOUGZDYSA-M	cpd00222				EX_glcn_e
glcur_e	D-Glucuronate	193.13146	6	0	SBO:0000247	C00191	['CHEBI:12975', 'CHEBI:15748', 'CHEBI:21013', 'CHEBI:24297', 'CHEBI:24298', 'CHEBI:4178', 'CHEBI:47952', 'CHEBI:58720']			META:D-Glucopyranuronate	MNXM241	AEMOLEFTQBMNLQ-AQKNRBDQSA-M	cpd00164				EX_glcur_e
glu__D_e	D-Glutamate	146.12132	5	1	SBO:0000247	C00217	['CHEBI:12979', 'CHEBI:15966', 'CHEBI:21022', 'CHEBI:21023', 'CHEBI:29986', 'CHEBI:29989', 'CHEBI:4183']	HMDB03339		META:D-GLT	MNXM331	WHUUTDBJXJRKMK-GSVOUGTGSA-M	cpd00186				EX_glu__D_e
gly_asn__L_e	Gly asn L C6H11N3O4	189.16924	6	3	SBO:0000247						MNXM8664		cpd11581				EX_gly_asn__L_e
gly_asp__L_e	Gly asp L C6H9N2O5	189.14606	6	2	SBO:0000247		CHEBI:73804	HMDB28837		META:CPD-13406	MNXM722983	SCCPDJAQCXWPTF-VKHMYHEASA-M	['cpd11589', 'cpd30701']				EX_gly_asp__L_e
gly_glu__L_e	Gly glu L C7H11N2O5	203.17264	7	2	SBO:0000247						MNXM8667		cpd11592				EX_gly_glu__L_e
gly_pro__L_e	Gly pro L C7H12N2O3	173.18972	7	2	SBO:0000247						MNXM8670		cpd11588				EX_gly_pro__L_e
glyb_e	Glycine betaine	117.14634	5	1	SBO:0000247	C00719	['CHEBI:12531', 'CHEBI:13895', 'CHEBI:15264', 'CHEBI:17750', 'CHEBI:22858', 'CHEBI:24370', 'CHEBI:27128', 'CHEBI:29050', 'CHEBI:3073', 'CHEBI:41134', 'CHEBI:41139']	['HMDB00043', 'HMDB59606']		META:BETAINE	MNXM289	KWIUHFFTVRNATP-UHFFFAOYSA-N	cpd00540	['R-ALL-352015', 'R-ALL-6798202']	D07523		EX_glyb_e
glyc2p_e	Glycerol 2-phosphate	170.057841	3	0	SBO:0000247	C02979	['CHEBI:14337', 'CHEBI:17270', 'CHEBI:26704', 'CHEBI:42620', 'CHEBI:5451', 'CHEBI:58083']	HMDB02520		META:CPD-536	MNXM2527	DHCLVCXQIBBOPH-UHFFFAOYSA-L	cpd01908				EX_glyc2p_e
glygln_e	L glycinylglutamine	203.19582	7	3	SBO:0000247												EX_glygln_e
glyglu_e	L glycinylglutamate	203.17264	7	2	SBO:0000247												EX_glyglu_e
glygly_e	Glycylglycine C4H8N2O3	132.11792	4	2	SBO:0000247	C02037	['CHEBI:14364', 'CHEBI:17201', 'CHEBI:24413', 'CHEBI:356445', 'CHEBI:5504']	HMDB11733		['META:CPD0-2555', 'META:GLYCYLGLYCINE']	MNXM4002	YMAWOPBAYDPSLA-UHFFFAOYSA-N	cpd01391				EX_glygly_e
glymet_e	L Glycinylmethionine	206.26265999999998	7	2	SBO:0000247												EX_glymet_e
glyphe_e	Glycylphenylalanine	222.24046	11	2	SBO:0000247		['CHEBI:133047', 'CHEBI:73912']	HMDB28848			MNXM724778	JBCLFWXMTIKCCB-VIFPVBQESA-N	cpd15605				EX_glyphe_e
glyser_e	L glycinylserine	162.1439	5	2	SBO:0000247												EX_glyser_e
gthox_e	Oxidized glutathione	610.6152	20	6	SBO:0000247	C00127	['CHEBI:14328', 'CHEBI:14720', 'CHEBI:17858', 'CHEBI:24336', 'CHEBI:42832', 'CHEBI:58297', 'CHEBI:7840']	HMDB03337		META:OXIDIZED-GLUTATHIONE	MNXM151	YPZRWBKMTBYPTK-BJDJZHNGSA-L	cpd00111	['R-ALL-111745', 'R-ALL-1655882', 'R-ALL-3341331']	D00031		EX_gthox_e
hisgly_e	L histidinylglycine	212.20588	8	4	SBO:0000247												EX_hisgly_e
hishis_e	L histidinylhistidine	292.29384	12	6	SBO:0000247												EX_hishis_e
hxan_e	Hypoxanthine	136.11146	5	4	SBO:0000247	C00262	['CHEBI:14431', 'CHEBI:17368', 'CHEBI:24762', 'CHEBI:43237', 'CHEBI:5841']	HMDB00157		META:HYPOXANTHINE	MNXM213	FDGQSTZJBFJUBT-UHFFFAOYSA-N	cpd00226	R-ALL-113599			EX_hxan_e
ibtol_e	Isobutanol	86.1323	5	0	SBO:0000247												EX_ibtol_e
icit_e	Isocitrate	189.0997	6	0	SBO:0000247	C00311	['CHEBI:14465', 'CHEBI:16087', 'CHEBI:24884', 'CHEBI:24886', 'CHEBI:30887', 'CHEBI:36453', 'CHEBI:36454', 'CHEBI:5998']	HMDB00193			MNXM89661	ODBLHEXUDAPZAU-UHFFFAOYSA-K	cpd00260				EX_icit_e
