taxon	sample_id	flux	metabolite	direction
pelagibacter	Central_2015	-0.00215434414638145	cell4	import
pelagibacter	Central_2015	0.0003512416398093	cellb	export
pelagibacter	Central_2015	-0.5957895061075481	cgly	import
pelagibacter	Central_2015	-0.0025973338838492	chol	import
pelagibacter	Central_2015	0.0064814548207165	cinnm	export
pelagibacter	Central_2015	-0.0811069307087335	cit	import
pelagibacter	Central_2015	-0.00319689033768035	cl	import
pelagibacter	Central_2015	7.025504804509521	co2	export
pelagibacter	Central_2015	-0.0026606899814594	co	import
pelagibacter	Central_2015	0.5196886539318043	cobalt2	export
pelagibacter	Central_2015	-0.0030571055759307	creat	import
pelagibacter	Central_2015	-0.3976783487808034	crn	import
pelagibacter	Central_2015	-0.30178180103899666	cu2	import
pelagibacter	Central_2015	-4.217799987948573	d23hb	import
pelagibacter	Central_2015	-0.08581222648692786	diact	import
pelagibacter	Central_2015	0.0009994830522799	drib	export
pelagibacter	Central_2015	0.0017669103290954497	enter	export
pelagibacter	Central_2015	-0.00058352091657355	etha	import
pelagibacter	Central_2015	-0.0004859135071204	fe2	import
pelagibacter	Central_2015	0.00374956521254785	fe3	export
pelagibacter	Central_2015	0.0017831474838534516	fe3dcit	export
pelagibacter	Central_2015	0.0001967093793292	fe3pyovd_kt	export
pelagibacter	Central_2015	-15.790307880289745	feenter	import
pelagibacter	Central_2015	-0.003313630513018	fuc	import
pelagibacter	Central_2015	-0.00124049257446215	g3pe	import
pelagibacter	Central_2015	0.0034714772781785	glc__D	export
pelagibacter	Central_2015	-0.0009626502108512499	glcn	import
pelagibacter	Central_2015	-0.4965002207442535	glcur	import
pelagibacter	Central_2015	-0.0012246630188139	gln__L	import
pelagibacter	Central_2015	-0.2897937213676864	glu__D	import
pelagibacter	Central_2015	0.000713964973823	gly_asn__L	export
pelagibacter	Central_2015	0.0079586297619485	gly_asp__L	export
pelagibacter	Central_2015	-0.003960635305247	gly_glu__L	import
pelagibacter	Central_2015	-0.0002821197066247	gly_pro__L	import
pelagibacter	Central_2015	0.16740421951669301	glyc2p	export
pelagibacter	Central_2015	-0.08514438004087253	glygln	import
pelagibacter	Central_2015	21.71939639999938	glyglu	export
pelagibacter	Central_2015	0.00460528089021465	glygly	export
pelagibacter	Central_2015	0.1029068899639695	glymet	export
pelagibacter	Central_2015	-0.03247935603602863	glyphe	import
pelagibacter	Central_2015	0.0068904544556204	glyser	export
pelagibacter	Central_2015	-0.2538479958529409	gthox	import
pelagibacter	Central_2015	0.20215449965500162	gthrd	export
pelagibacter	Central_2015	-0.021504834808753134	gua	import
pelagibacter	Central_2015	0.00612778404462065	h2o2	export
pelagibacter	Central_2015	-0.5937017379128513	h2o	import
pelagibacter	Central_2015	-0.040345001185270846	h2s	import
pelagibacter	Central_2015	-4.727581742413949	h	import
pelagibacter	Central_2015	0.00011984823476074999	his__L	export
pelagibacter	Central_2015	0.00011756495652145028	hisgly	export
pelagibacter	Central_2015	-2.6238800934269344	hishis	import
pelagibacter	Central_2015	-0.0009143353907815998	ibtol	import
pelagibacter	Central_2015	-0.0074064719903459	icit	import
pelagibacter	Central_2015	-0.00464307811903195	id3acald	import
pelagibacter	Central_2015	-0.0595719580627333	ile__L	import
pelagibacter	Central_2015	0.0024044550412538807	ind3ac	export
pelagibacter	Central_2015	0.12249332193788699	indole	export
pelagibacter	Central_2015	0.0009247858928179	inost	export
pelagibacter	Central_2015	-0.03115712823059385	k	import
pelagibacter	Central_2015	0.004243044072132	lcts	export
pelagibacter	Central_2015	-0.2478203172810132	leu__L_m	import
pelagibacter	Central_2015	-0.0384993929043822	leuleu	import
pelagibacter	Central_2015	0.0005160632202423	lys__D	export
pelagibacter	Central_2015	0.07485230424372129	lys__L	export
pelagibacter	Central_2015	0.0034221916840397	malt	export
pelagibacter	Central_2015	-0.0002416655868106	malthp	import
pelagibacter	Central_2015	-3.961830634290021e-05	malthx	import
pelagibacter	Central_2015	0.28360808954570493	malttr	export
pelagibacter	Central_2015	0.0036411934316026	met_L_ala__L	export
pelagibacter	Central_2015	0.0067150988487558	met__D	export
pelagibacter	Central_2015	0.00428730114126954	met__L	export
pelagibacter	Central_2015	0.0022551322096067	mg2	export
pelagibacter	Central_2015	-0.00315416277740365	mn2	import
pelagibacter	Central_2015	10.274702668797339	nh4	export
pelagibacter	Central_2015	0.00640262225830245	no3	export
pelagibacter	Central_2015	-9.382041285982877	o2	import
pelagibacter	Central_2015	0.07781985664309296	ocdcea	export
pelagibacter	Central_2015	-0.021019696180599068	orn__D	import
pelagibacter	Central_2015	-0.009693708990251567	orn	import
pelagibacter	Central_2015	2.572548426245606	oxa	export
pelagibacter	Central_2015	0.2059249300494222	pea	export
pelagibacter	Central_2015	-4.690725778606035	phe__L	import
pelagibacter	Central_2015	0.0005842230782626	phedca	export
pelagibacter	Central_2015	-0.0065949836614254	phenona	import
pelagibacter	Central_2015	-0.0009067277838125268	pi	import
pelagibacter	Central_2015	-0.003003615875318	ppa	import
pelagibacter	Central_2015	-0.2171522585662591	ppoh	import
pelagibacter	Central_2015	-0.32156585385431785	pro__L	import
pelagibacter	Central_2015	0.00193457141868075	progly	export
pelagibacter	Central_2015	0.0066324078900231	pyovd_kt	export
pelagibacter	Central_2015	-0.0063176297220934	pyr	import
pelagibacter	Central_2015	0.6940252902520267	rib__D	export
pelagibacter	Central_2015	0.0016174160233134963	s	export
pelagibacter	Central_2015	-0.0033386480463322	salc	import
pelagibacter	Central_2015	-0.0077163058254244	salchs4	import
pelagibacter	Central_2015	-1.5567697811401706	salchs4fe	import
pelagibacter	Central_2015	0.0033929362891023775	ser__L	export
pelagibacter	Central_2015	-0.0027435386445071	so4	import
pelagibacter	Central_2015	-0.0022840244539383	spmd	import
pelagibacter	Central_2015	-0.0001157147582407001	taur	import
pelagibacter	Central_2015	4.935722807826123e-05	thr__L	export
pelagibacter	Central_2015	-0.00014129800615340004	tre	import
pelagibacter	Central_2015	-0.04338146041268615	trp__L	import
pelagibacter	Central_2015	0.0036502952275410667	tyr__L	export
pelagibacter	Central_2015	-0.0067109439979694	udcpdp	import
pelagibacter	Central_2015	0.2459415743438586	udcpp	export
pelagibacter	Central_2015	0.0862354407922675	urate	export
pelagibacter	Central_2015	4.3575400666003095	val__L	export
pelagibacter	Central_2015	0.0072286066857388	xan	export
pelagibacter	Central_2015	-26.333122967161728	xyl__D	import
pelagibacter	Central_2015	-0.0039094556097464	xylu__L	import
pelagibacter	Central_2015	-0.03043303288593172	zn2	import
pelagibacter	Central_2016	-0.08146920168177543	23dappa	import
pelagibacter	Central_2016	-0.0021049957243514	25dkglcn	import
pelagibacter	Central_2016	-0.0003534263386668	2mbald	import
pelagibacter	Central_2016	-0.0018426636144528	3h4atb	import
pelagibacter	Central_2016	-9.32073112580258	3mb	import
pelagibacter	Central_2016	-2.9485227121741495	4ahmmp	import
pelagibacter	Central_2016	-0.0002147486107776	4hba	import
pelagibacter	Central_2016	0.0516428328196508	4hphac	export
pelagibacter	Central_2016	-0.0030666108369714	4hpro_LT	import
pelagibacter	Central_2016	0.41606219334872785	5aptn	export
pelagibacter	Central_2016	-0.04300364090228267	5dglcn	import
pelagibacter	Central_2016	0.0292910708529399	6pgc	export
pelagibacter	Central_2016	-0.0116862048258879	Glycine	import
pelagibacter	Central_2016	0.07299428605517277	L_Alanine	export
pelagibacter	Central_2016	-0.0006457251584201578	L_Asparagine	import
pelagibacter	Central_2016	0.004065458576686321	L_Aspartate	export
pelagibacter	Central_2016	-0.0012704469614691	L_Cystine	import
pelagibacter	Central_2016	-0.001993783940158867	L_Glutamate	import
pelagibacter	Central_2016	0.3215441267613579	LalaDgluMdapDala	export
pelagibacter	Central_2016	0.3956161600533222	LalaLglu	export
pelagibacter	Central_2016	0.037644404418645465	R_3h6atha	export
pelagibacter	Central_2016	0.10864917505937856	R_3hnonaa	export
pelagibacter	Central_2016	-0.0029365290227224	R_3htd58e	import
pelagibacter	Central_2016	0.12695583622203765	R_3htd5e	export
pelagibacter	Central_2016	0.0024392522430234	ac	export
pelagibacter	Central_2016	-0.28120888433829394	acald	import
pelagibacter	Central_2016	-0.0234033360825134	acon_C	import
pelagibacter	Central_2016	-0.7400164782933508	actn__R	import
pelagibacter	Central_2016	-0.00028645098137754997	ade	import
pelagibacter	Central_2016	0.3090261316970619	agm	export
pelagibacter	Central_2016	-0.263219232909715	ala_L_asp__L	import
pelagibacter	Central_2016	0.7202721048470022	alahis	export
pelagibacter	Central_2016	0.4879875824423254	alaleu	export
pelagibacter	Central_2016	0.046751228101387	alathr	export
pelagibacter	Central_2016	-0.56263020060167	alatrp	import
pelagibacter	Central_2016	0.3640836189148717	alltn	export
pelagibacter	Central_2016	0.00010824966388072925	anhgm	export
pelagibacter	Central_2016	0.001192241893124	arg__L	export
pelagibacter	Central_2016	-0.0033472037252749	asp__D	import
pelagibacter	Central_2016	-7.235505108201812	btn	import
pelagibacter	Central_2016	0.0019944026031706	but	export
pelagibacter	Central_2016	-0.21468300380420804	bz	import
pelagibacter	Central_2016	-40.12783086296354	ca2	import
pelagibacter	Central_2016	-0.17264295540525712	catechol	import
pelagibacter	Central_2016	-0.0021865354464541	cell4	import
pelagibacter	Central_2016	-0.2634365065623859	cellb	import
pelagibacter	Central_2016	-0.2279964039386321	cgly	import
pelagibacter	Central_2016	0.0757931071879223	chol	export
pelagibacter	Central_2016	0.2736279458505187	cinnm	export
pelagibacter	Central_2016	0.363403100970277	cit	export
pelagibacter	Central_2016	-0.5431364328601755	cl	import
pelagibacter	Central_2016	3.999789336600332	co2	export
pelagibacter	Central_2016	0.002119514436186	co	export
pelagibacter	Central_2016	0.14971317057232544	cobalt2	export
pelagibacter	Central_2016	-0.41833863583708214	creat	import
pelagibacter	Central_2016	-0.29734024362054595	crn	import
pelagibacter	Central_2016	-0.9860969282663311	cu2	import
pelagibacter	Central_2016	0.1579996872355097	d23hb	export
pelagibacter	Central_2016	3.5592447264527625	diact	export
pelagibacter	Central_2016	0.18677284303790015	drib	export
pelagibacter	Central_2016	-0.6768539848038266	enter	import
pelagibacter	Central_2016	0.3641107503199643	etha	export
pelagibacter	Central_2016	0.3065262775106243	fald	export
pelagibacter	Central_2016	0.0027492388512600496	fe2	export
pelagibacter	Central_2016	0.24723143959911417	fe3dcit	export
pelagibacter	Central_2016	-0.46452776996269346	fe3pyovd_kt	import
pelagibacter	Central_2016	-0.5557671748475158	feenter	import
pelagibacter	Central_2016	0.0028480735306543	fuc	export
pelagibacter	Central_2016	-0.26325285975795204	g3pe	import
pelagibacter	Central_2016	-0.00122076942565555	galct__D	import
pelagibacter	Central_2016	0.00120030168881935	glc__D	export
pelagibacter	Central_2016	0.34971506103696726	glcur	export
pelagibacter	Central_2016	0.6474606764239247	gln__L	export
pelagibacter	Central_2016	0.002589130700719	glu__D	export
pelagibacter	Central_2016	-0.002153648982804	gly_asn__L	import
pelagibacter	Central_2016	0.0021292936918904	gly_asp__L	export
pelagibacter	Central_2016	0.2262560274389419	gly_glu__L	export
pelagibacter	Central_2016	-0.46377950389713374	gly_pro__L	import
pelagibacter	Central_2016	-0.21645215499414924	glyb	import
pelagibacter	Central_2016	-0.0013459847774107499	glyc2p	import
pelagibacter	Central_2016	-0.32376333477384284	glygln	import
pelagibacter	Central_2016	-0.00103591550030385	glyglu	import
pelagibacter	Central_2016	-1.2403728278492185	glygly	import
pelagibacter	Central_2016	-0.47859932475027306	glymet	import
pelagibacter	Central_2016	-0.3102063682523531	glyphe	import
pelagibacter	Central_2016	-0.1682924228527433	glyser	import
pelagibacter	Central_2016	-0.1665799885982345	gthox	import
pelagibacter	Central_2016	-0.04391019002244015	gthrd	import
pelagibacter	Central_2016	25.416456674980896	gua	export
pelagibacter	Central_2016	0.02209087279841385	h2o2	export
pelagibacter	Central_2016	-0.04091681552157297	h2o	import
pelagibacter	Central_2016	-0.47608717200942663	h2s	import
pelagibacter	Central_2016	-0.0073990491575098	h	import
pelagibacter	Central_2016	0.15573230902764562	his__L	export
pelagibacter	Central_2016	-0.4374165057779794	hisgly	import
pelagibacter	Central_2016	-0.2741700120605695	hishis	import
pelagibacter	Central_2016	0.0013462326808377444	hxan	export
pelagibacter	Central_2016	0.4596270633487358	ibtol	export
pelagibacter	Central_2016	0.25637771444217	icit	export
pelagibacter	Central_2016	0.4537402288475074	id3acald	export
pelagibacter	Central_2016	0.0079085221311144	ile__L	export
pelagibacter	Central_2016	0.27548290756332566	ind3ac	export
pelagibacter	Central_2016	0.48541512529471487	indole	export
pelagibacter	Central_2016	0.08354536187809465	inost	export
pelagibacter	Central_2016	0.07003580385120793	k	export
pelagibacter	Central_2016	0.033972778002416805	lcts	export
pelagibacter	Central_2016	0.07624598301773856	leu__L_m	export
pelagibacter	Central_2016	0.3249690480860977	leuleu	export
pelagibacter	Central_2016	0.001071427891097167	lys__D	export
pelagibacter	Central_2016	-0.27177199881517644	lys__L	import
pelagibacter	Central_2016	-0.373510568930798	malt	import
pelagibacter	Central_2016	-0.00652414797058195	malthp	import
pelagibacter	Central_2016	0.3899155004695889	malthx	export
pelagibacter	Central_2016	-0.00185375034166695	malttr	import
pelagibacter	Central_2016	0.3261321298380821	meoh	export
pelagibacter	Central_2016	-0.003935772101183397	met_L_ala__L	import
pelagibacter	Central_2016	-0.48464700672706873	met__D	import
pelagibacter	Central_2016	0.00205799802940015	met__L	export
pelagibacter	Central_2016	-0.9540063966585176	mg2	import
pelagibacter	Central_2016	0.2571592918376853	mn2	export
pelagibacter	Central_2016	0.0005431472025453	nh4	export
pelagibacter	Central_2016	-0.2944682477908395	no3	import
pelagibacter	Central_2016	0.06589939898155305	o2	export
pelagibacter	Central_2016	-0.0017445436525848	ocdcea	import
pelagibacter	Central_2016	-0.1502348874123358	orn__D	import
pelagibacter	Central_2016	0.17376326168499426	orn	export
pelagibacter	Central_2016	0.0010172775381788	oxa	export
pelagibacter	Central_2016	0.5558657534556811	pea	export
pelagibacter	Central_2016	0.23237819761681688	phe__L	export
pelagibacter	Central_2016	-0.320725168199482	phedca	import
pelagibacter	Central_2016	-5.784043201932023	phenona	import
pelagibacter	Central_2016	-0.3571876624705013	pi	import
pelagibacter	Central_2016	0.02728871978505565	ppa	export
pelagibacter	Central_2016	0.00014285633795439994	ppoh	export
pelagibacter	Central_2016	0.35847422429236947	pro__L	export
pelagibacter	Central_2016	-0.0266702505610374	progly	import
pelagibacter	Central_2016	-0.359053316266784	ptrc	import
pelagibacter	Central_2016	-0.0036524322630477	pyovd_kt	import
pelagibacter	Central_2016	-0.603790667700778	pyr	import
pelagibacter	Central_2016	-0.41778416190916556	rib__D	import
pelagibacter	Central_2016	0.00186699444711025	s	export
pelagibacter	Central_2016	-0.0022097558650508	salc	import
pelagibacter	Central_2016	-0.38967767137726955	salchs4	import
pelagibacter	Central_2016	-0.7646800474962946	salchs4fe	import
pelagibacter	Central_2016	-1.4865512019862952	ser__L	import
pelagibacter	Central_2016	-0.5029544497283124	so4	import
pelagibacter	Central_2016	0.28887970919189176	spmd	export
pelagibacter	Central_2016	-0.6253415574660347	taur	import
pelagibacter	Central_2016	0.001646729942656162	thr__L	export
pelagibacter	Central_2016	0.22989062834393778	tre	export
pelagibacter	Central_2016	-0.15205094051102153	trp__L	import
pelagibacter	Central_2016	1.1842539712906301	tyr__L	export
pelagibacter	Central_2016	-0.009044916281833	udcpdp	import
pelagibacter	Central_2016	0.0005461413895042602	udcpp	export
pelagibacter	Central_2016	-0.29140102243075916	urate	import
pelagibacter	Central_2016	-0.8333686708446058	val__L	import
pelagibacter	Central_2016	-0.06276129860532433	xan	import
pelagibacter	Central_2016	-0.08901101484313695	xyl__D	import
pelagibacter	Central_2016	0.0012873549357586976	xylu__L	export
pelagibacter	Central_2016	-0.00126269313129195	zn2	import
pelagibacter	East_2015	-0.0004729916125488999	23dappa	import
pelagibacter	East_2015	0.13938290695290306	25dkglcn	export
pelagibacter	East_2015	-0.4241378922376274	2mbald	import
pelagibacter	East_2015	1.5486629438406496	3h4atb	export
pelagibacter	East_2015	-0.0069070506144921	3mb	import
pelagibacter	East_2015	-0.003004570847722559	4ahmmp	import
pelagibacter	East_2015	0.001569827130689425	4hba	export
pelagibacter	East_2015	-0.0177626074480488	4hphac	import
pelagibacter	East_2015	1.8618762917472516	4hpro_LT	export
pelagibacter	East_2015	-0.1227871908685319	5aptn	import
pelagibacter	East_2015	0.0022661369000032	5dglcn	export
pelagibacter	East_2015	0.010677226921096301	6pgc	export
pelagibacter	East_2015	-0.07458310218679691	Glycine	import
pelagibacter	East_2015	0.060690307651742	L_Alanine	export
pelagibacter	East_2015	0.006616959578188799	L_Asparagine	export
pelagibacter	East_2015	-0.11481209616947556	L_Cystine	import
pelagibacter	East_2015	-0.2381855860682622	L_Glutamate	import
pelagibacter	East_2015	-0.012326002689205398	LalaDgluMdapDala	import
pelagibacter	East_2015	-0.10938609949611894	LalaLglu	import
pelagibacter	East_2015	0.22765461342658	R_3h6atha	export
pelagibacter	East_2015	-0.0097160486127846	R_3hnonaa	import
pelagibacter	East_2015	0.0085145414184176	R_3htd58e	export
pelagibacter	East_2015	-0.005886259801215651	R_3htd5e	import
pelagibacter	East_2015	0.7243118853543301	ac	export
pelagibacter	East_2015	0.09756941333237554	acald	export
pelagibacter	East_2015	-0.0115758504299968	acon_C	import
pelagibacter	East_2015	-0.0660585778141889	actn__R	import
pelagibacter	East_2015	-0.024616581977083034	ade	import
pelagibacter	East_2015	0.0181110717850739	agm	export
pelagibacter	East_2015	0.0096984852427517	ala_L_asp__L	export
pelagibacter	East_2015	0.0100840679543026	ala_L_glu__L	export
pelagibacter	East_2015	-0.492324484488196	alahis	import
pelagibacter	East_2015	-0.4369420916658514	alaleu	import
pelagibacter	East_2015	-0.0164938114537623	alathr	import
pelagibacter	East_2015	0.0206628361686347	alatrp	export
pelagibacter	East_2015	-0.0591708815812004	alltn	import
pelagibacter	East_2015	-0.021729060457783236	anhgm	import
pelagibacter	East_2015	-1.0228723060610407	arg__L	import
pelagibacter	East_2015	0.5190145331986854	asp__D	export
pelagibacter	East_2015	-0.5224440770798554	btn	import
pelagibacter	East_2015	0.19414260363438549	but	export
pelagibacter	East_2015	0.0017615021598116878	bz	export
pelagibacter	East_2015	-0.5582787439255513	ca2	import
pelagibacter	East_2015	0.0045790074358035	catechol	export
pelagibacter	East_2015	-3.233429954869722	cellb	import
pelagibacter	East_2015	4.457150024568432	cgly	export
pelagibacter	East_2015	-5.917972088957418	chol	import
pelagibacter	East_2015	0.0093223487430876	cinnm	export
pelagibacter	East_2015	6.69880342698639	cit	export
pelagibacter	East_2015	0.012297111585355099	cl	export
pelagibacter	East_2015	1.5274078955810773	co2	export
pelagibacter	East_2015	-0.2319424541339764	co	import
pelagibacter	East_2015	0.004828830583064031	cobalt2	export
pelagibacter	East_2015	-0.0054868757622897005	creat	import
pelagibacter	East_2015	0.33535907933913606	crn	export
pelagibacter	East_2015	-0.13683312736527323	cu2	import
pelagibacter	East_2015	-0.0086918575601765	d23hb	import
pelagibacter	East_2015	-0.029312613417809497	diact	import
pelagibacter	East_2015	0.011854956495791252	drib	export
pelagibacter	East_2015	0.01506733507149355	enter	export
pelagibacter	East_2015	-0.010083108383039	etha	import
pelagibacter	East_2015	-0.0277120318229136	fald	import
pelagibacter	East_2015	-0.0011981293306191	fe2	import
pelagibacter	East_2015	-0.013096887129441251	fe3	import
pelagibacter	East_2015	12.085629849483148	fe3dcit	export
pelagibacter	East_2015	-0.10819746811091654	fe3pyovd_kt	import
pelagibacter	East_2015	-0.0212802780859956	feenter	import
pelagibacter	East_2015	-0.010413589213371441	fuc	import
pelagibacter	East_2015	0.0019386286022971995	g3pe	export
pelagibacter	East_2015	-0.0234540772563187	galct__D	import
pelagibacter	East_2015	-14.789563788492554	glc__D	import
pelagibacter	East_2015	-0.0374338643279028	glcn	import
pelagibacter	East_2015	0.0246204453721233	glcur	export
pelagibacter	East_2015	0.0040675207408402	gln__L	export
pelagibacter	East_2015	0.0233846095834037	glu__D	export
pelagibacter	East_2015	0.012709046331557252	gly_asn__L	export
pelagibacter	East_2015	-2.7552690969397866	gly_asp__L	import
pelagibacter	East_2015	0.00029450363347165	gly_glu__L	export
pelagibacter	East_2015	0.01008514866540285	gly_pro__L	export
pelagibacter	East_2015	0.0185093853912526	glyb	export
pelagibacter	East_2015	-0.07991086179784909	glyc2p	import
pelagibacter	East_2015	0.020814187439872633	glygln	export
pelagibacter	East_2015	0.7419327757271481	glyglu	export
pelagibacter	East_2015	-0.4888534103728356	glygly	import
pelagibacter	East_2015	-0.02563931824143085	glymet	import
pelagibacter	East_2015	-0.039870295605787705	glyphe	import
pelagibacter	East_2015	-0.7199128500238127	glyser	import
pelagibacter	East_2015	-1.161348901088123e-06	gthox	import
pelagibacter	East_2015	1.9109076635114093	gthrd	export
pelagibacter	East_2015	-0.018609855109293867	gua	import
pelagibacter	East_2015	0.5125669060255174	h2o2	export
pelagibacter	East_2015	1.022298493854653	h2o	export
pelagibacter	East_2015	-0.18048189107443544	h2s	import
pelagibacter	East_2015	-1.7873657939578422	h	import
pelagibacter	East_2015	0.00466526910945325	his__L	export
pelagibacter	East_2015	-0.00953533126827335	hisgly	import
pelagibacter	East_2015	-0.0143476933205781	hishis	import
pelagibacter	East_2015	-2.580155110179706	hxan	import
pelagibacter	East_2015	-0.01725291963324415	ibtol	import
pelagibacter	East_2015	-0.00259356469510215	icit	import
pelagibacter	East_2015	31.811244318247443	id3acald	export
pelagibacter	East_2015	-0.03189955077390763	ile__L	import
pelagibacter	East_2015	8.389956468166819	ind3ac	export
pelagibacter	East_2015	3.483420004899221e-06	indole	export
pelagibacter	East_2015	0.02855088529362295	inost	export
pelagibacter	East_2015	-0.026186500199085538	k	import
pelagibacter	East_2015	3.9395706853848105	lcts	export
pelagibacter	East_2015	0.034825824915775	leu__L_m	export
pelagibacter	East_2015	0.00887338624530815	leuleu	export
pelagibacter	East_2015	-0.1381052859829379	lys__D	import
pelagibacter	East_2015	-0.32820889505703926	lys__L	import
pelagibacter	East_2015	-0.00034099825504145	malthp	import
pelagibacter	East_2015	-0.0303103601790566	malthx	import
pelagibacter	East_2015	0.0095823859542634	malttr	export
pelagibacter	East_2015	0.0202594028188905	meoh	export
pelagibacter	East_2015	-0.523804932057925	met_L_ala__L	import
pelagibacter	East_2015	-0.0171915382661909	met__D	import
pelagibacter	East_2015	-0.0119877303469856	met__L	import
pelagibacter	East_2015	-0.0020904966242367	mg2	import
pelagibacter	East_2015	-0.0018636711021956	mn2	import
pelagibacter	East_2015	6.819901781451088	nh4	export
pelagibacter	East_2015	0.0127093624518098	no3	export
pelagibacter	East_2015	-7.174842423859399	o2	import
pelagibacter	East_2015	0.021286581960138135	ocdcea	export
pelagibacter	East_2015	-0.0532697096565601	orn__D	import
pelagibacter	East_2015	-0.0223013514671216	orn	import
pelagibacter	East_2015	-0.0054034397550009996	oxa	import
pelagibacter	East_2015	0.0058263446653978	pea	export
pelagibacter	East_2015	0.0127503425826094	phe__L	export
pelagibacter	East_2015	-0.00273751035405765	phedca	import
pelagibacter	East_2015	-6.951871517628052e-05	phenona	import
pelagibacter	East_2015	-0.19801565933800402	pi	import
pelagibacter	East_2015	0.0003353251314499	ppa	export
pelagibacter	East_2015	-0.0031632747674187503	ppoh	import
pelagibacter	East_2015	-0.0055863281214974	pro__L	import
pelagibacter	East_2015	-0.0011941215175074	progly	import
pelagibacter	East_2015	4.73450381014763	pyovd_kt	export
pelagibacter	East_2015	-0.0117695027007474	pyr	import
pelagibacter	East_2015	0.03522500683927835	rib__D	export
pelagibacter	East_2015	-4.915609613015568	salc	import
pelagibacter	East_2015	0.0115096453687317	salchs4	export
pelagibacter	East_2015	0.0046137212588602	salchs4fe	export
pelagibacter	East_2015	0.44467379564754483	ser__L	export
pelagibacter	East_2015	0.057526364852082505	so4	export
pelagibacter	East_2015	0.0008136807250456	spmd	export
pelagibacter	East_2015	0.0176889020261718	taur	export
pelagibacter	East_2015	0.01087506503898715	thr__L	export
pelagibacter	East_2015	-0.0124079883638937	tre	import
pelagibacter	East_2015	-0.009290582182802433	trp__L	import
pelagibacter	East_2015	-0.0217154944787477	tyr__L	import
pelagibacter	East_2015	-0.0025145007096557	udcpdp	import
pelagibacter	East_2015	0.0180671876549924	udcpp	export
pelagibacter	East_2015	0.0167459203861427	urate	export
pelagibacter	East_2015	0.0151764647138267	val__L	export
pelagibacter	East_2015	0.0064493702869659	xan	export
pelagibacter	East_2015	-0.01741629647561305	xyl__D	import
pelagibacter	East_2015	0.0032870479701750145	zn2	export
pelagibacter	East_2016	-0.14583896515342604	23dappa	import
pelagibacter	East_2016	0.0011869716546315965	25dkglcn	export
pelagibacter	East_2016	-5.61612582455044e-05	2mbald	import
pelagibacter	East_2016	1.1128939869011951	3h4atb	export
pelagibacter	East_2016	-0.005950962193515199	3mb	import
pelagibacter	East_2016	0.13934910040453766	4ahmmp	export
pelagibacter	East_2016	0.15896144011704405	4hba	export
pelagibacter	East_2016	-0.1545305420606259	4hphac	import
